Region,Optimal_Percentage,Num_Branches
AMD,78.88289999999996,184
BBI,83.99799999999999,134
BLR,79.31920000000002,182
CCU,79.76599999999996,163
CHE,81.60899999999998,157
CJB,81.10839999999996,160
COK,82.11549999999994,101
EUP,83.30530000000009,142
GAU,84.44919999999999,129
GGN,80.86259999999997,163
HHPT,79.64849999999993,166
HYD,77.48969999999997,146
IDR,78.74050000000003,148
JAI,81.06759999999991,171
MUM,76.06689999999995,182
NDL,76.44140000000003,189
NGP,83.7857000000001,134
PAT,81.87159999999999,136
PNQ,79.04450000000006,170
SDL,77.82720000000005,170
VJA,84.07699999999996,91
WUP,81.97880000000004,168
